Apellido Paterno,Apellido Materno,Nombre,Fecha de Registro,Actividad,Código Cliente,Código Segmento,Estado,DNI,Fraude,Sigla
López,Pérez,Elena,2020-08-29,Independiente,C000264,E,Inactivo,46562188,Fraude 34,BFO
Rodríguez,Pérez,Andrés,2020-06-09,Empleado,C000265,A,Activo,67120686,Fraude 2,VL1
Sánchez,González,Ana,2020-03-07,Docente,C000266,D,Activo,84021024,Fraude 26,BSO
Díaz,González,Andrés,2022-03-25,Docente,C000267,C,Activo,62844546,Fraude 64,BSO
Gómez,Gómez,María,2023-12-16,Empresario,C000268,A,Activo,16350587,Fraude 94,BSO
López,Martínez,Sofía,2021-09-22,Docente,C000269,E,Activo,25882143,Fraude 41,PEF
Sánchez,Martínez,Miguel,2022-03-12,Estudiante,C000270,D,Activo,70137247,Fraude 39,BSO
Rodríguez,Fernández,Luis,2022-05-26,Comerciante,C000271,A,Inactivo,60730071,Fraude 43,BFO
González,Martínez,Andrés,2024-07-22,Comerciante,C000272,C,Activo,58800181,Fraude 25,BSO
Ramírez,Rodríguez,Ana,2024-08-22,Estudiante,C000273,B,Suspendido,39319830,Fraude 51,BPR
Pérez,Gómez,Luis,2024-12-13,Independiente,C000274,C,Activo,25027387,Fraude 34,PEF
Pérez,González,Ana,2023-12-08,Empresario,C000275,D,Inactivo,42680182,Fraude 7,PCO
López,López,Ana,2020-12-19,Comerciante,C000276,C,Inactivo,92069269,Fraude 68,PEF
Martínez,Sánchez,Valeria,2020-12-30,Empleado,C000277,C,Inactivo,71599377,Fraude 38,BFO
Gómez,González,María,2022-05-21,Docente,C000278,B,Suspendido,13282687,Fraude 96,BSO
Rodríguez,Rodríguez,Juan,2024-02-04,Docente,C000279,D,Suspendido,87654957,Fraude 53,BFO
Sánchez,Ramírez,Andrés,2023-10-12,Agricultor,C000280,B,Suspendido,29042319,Fraude 100,BPR
Díaz,Díaz,Miguel,2024-03-05,Comerciante,C000281,E,Suspendido,41305533,Fraude 10,PCO
Martínez,Gómez,Sofía,2023-01-20,Comerciante,C000282,E,Activo,37680809,Fraude 4,BSO
Pérez,Sánchez,Ana,2022-10-13,Comerciante,C000283,A,Inactivo,84075896,Fraude 6,BPR
Martínez,González,Carlos,2022-09-09,Agricultor,C000284,C,Inactivo,92299387,Fraude 88,VL1
Pérez,Rodríguez,Ana,2020-09-27,Empleado,C000285,E,Suspendido,71223831,Fraude 37,PCO
Díaz,Díaz,Elena,2020-07-20,Docente,C000286,E,Activo,97634781,Fraude 48,VL1
Gómez,Martínez,Luis,2020-09-29,Estudiante,C000287,A,Suspendido,61202836,Fraude 39,BFO
Rodríguez,Martínez,Valeria,2020-10-03,Independiente,C000288,C,Inactivo,91840933,Fraude 35,BSO
Ramírez,López,Miguel,2020-12-01,Docente,C000289,D,Inactivo,72058729,Fraude 30,PCO
Rodríguez,Martínez,Juan,2023-10-17,Comerciante,C000290,E,Inactivo,18913933,Fraude 20,BPR
Rodríguez,López,Juan,2022-04-08,Empresario,C000291,A,Activo,23122504,Fraude 74,BSO
Gómez,Pérez,Carlos,2021-04-15,Docente,C000292,E,Suspendido,54807743,Fraude 27,BFO
Sánchez,Fernández,Andrés,2024-01-24,Empleado,C000293,B,Activo,23858538,Fraude 87,BSO
Sánchez,Rodríguez,Miguel,2021-10-23,Agricultor,C000294,C,Suspendido,43295416,Fraude 33,PCO
Sánchez,Sánchez,Andrés,2024-02-13,Docente,C000295,E,Inactivo,42488561,Fraude 72,BPR
González,Fernández,Elena,2021-03-08,Empresario,C000296,C,Inactivo,66037064,Fraude 63,PCO
Rodríguez,Fernández,María,2023-03-16,Estudiante,C000297,B,Activo,57225875,Fraude 37,BFO
Martínez,López,Sofía,2024-03-26,Estudiante,C000298,A,Inactivo,58138489,Fraude 47,PEF
Ramírez,Fernández,Juan,2022-04-21,Docente,C000299,E,Suspendido,93037822,Fraude 20,PEF
Martínez,Gómez,Ana,2021-05-31,Independiente,C000300,B,Suspendido,53490810,Fraude 8,PCO
Martínez,Fernández,Juan,2020-03-04,Docente,C000301,D,Suspendido,67480084,Fraude 97,BPR
Sánchez,Martínez,Elena,2023-05-03,Agricultor,C000302,E,Inactivo,36408765,Fraude 23,BFO
Fernández,Pérez,Juan,2023-06-25,Agricultor,C000303,C,Suspendido,45090940,Fraude 18,PEF
Ramírez,Díaz,Luis,2023-10-09,Agricultor,C000304,C,Suspendido,10889319,Fraude 14,BSO
Pérez,Ramírez,Ana,2023-12-24,Independiente,C000305,B,Inactivo,79024093,Fraude 33,BSO
López,Díaz,María,2023-01-21,Comerciante,C000306,C,Activo,75675554,Fraude 63,PCO
Ramírez,Fernández,Valeria,2023-05-26,Agricultor,C000307,C,Inactivo,49190425,Fraude 70,BSO
Sánchez,González,María,2021-02-05,Docente,C000308,B,Suspendido,73352672,Fraude 21,PEF
Martínez,López,Luis,2023-05-25,Independiente,C000309,E,Activo,12785601,Fraude 51,VL1
Rodríguez,Gómez,Ana,2023-08-15,Independiente,C000310,A,Suspendido,15245639,Fraude 94,VL1
González,Díaz,Juan,2024-02-26,Docente,C000311,C,Suspendido,33684116,Fraude 70,BSO
González,Gómez,Sofía,2023-10-01,Independiente,C000312,A,Activo,87851493,Fraude 14,BFO
Rodríguez,Martínez,Valeria,2020-11-10,Comerciante,C000313,C,Suspendido,38199593,Fraude 95,PEF
González,Gómez,Valeria,2023-02-17,Comerciante,C000314,D,Activo,67704920,Fraude 46,PEF
Ramírez,Sánchez,Sofía,2020-05-28,Empresario,C000315,D,Suspendido,72912001,Fraude 20,BPR
Sánchez,Sánchez,María,2023-06-07,Estudiante,C000316,E,Suspendido,73279067,Fraude 14,BFO
Pérez,Fernández,María,2023-03-01,Independiente,C000317,E,Activo,21773325,Fraude 47,BPR
López,González,Luis,2024-11-07,Estudiante,C000318,D,Inactivo,98044521,Fraude 32,BSO
Fernández,Sánchez,Valeria,2024-01-29,Empresario,C000319,B,Suspendido,70900682,Fraude 76,PEF
López,González,Elena,2023-02-24,Independiente,C000320,B,Suspendido,89186424,Fraude 84,VL1
Martínez,Pérez,Miguel,2020-07-23,Independiente,C000321,E,Activo,15631790,Fraude 85,PCO
Martínez,Ramírez,Miguel,2021-03-14,Independiente,C000322,C,Suspendido,29066005,Fraude 73,BSO
Rodríguez,Díaz,Elena,2024-08-23,Docente,C000323,C,Suspendido,41634467,Fraude 17,VL1
Díaz,Sánchez,María,2024-01-10,Independiente,C000324,D,Activo,50953999,Fraude 69,VL1
Fernández,López,Juan,2022-08-23,Docente,C000325,A,Suspendido,13176402,Fraude 26,PCO
Díaz,Pérez,Ana,2021-07-09,Agricultor,C000326,B,Inactivo,48345895,Fraude 100,PEF
Ramírez,González,Valeria,2020-12-28,Empresario,C000327,E,Suspendido,24114009,Fraude 13,VL1
González,Ramírez,María,2023-05-15,Independiente,C000328,A,Activo,96670199,Fraude 26,BFO
Rodríguez,López,María,2024-04-15,Empresario,C000329,E,Suspendido,91477857,Fraude 7,BSO
López,Ramírez,Carlos,2021-10-29,Independiente,C000330,E,Suspendido,77890391,Fraude 2,BSO
Ramírez,González,Ana,2022-04-23,Independiente,C000331,C,Activo,44591950,Fraude 16,VL1
López,López,Elena,2021-11-13,Empresario,C000332,D,Inactivo,50862290,Fraude 20,VL1
Gómez,López,Andrés,2024-02-08,Docente,C000333,C,Activo,74298916,Fraude 89,PEF
Pérez,Rodríguez,Elena,2022-08-07,Empleado,C000334,D,Inactivo,48425020,Fraude 25,BFO
Pérez,Ramírez,Sofía,2021-01-01,Empleado,C000335,C,Suspendido,68457837,Fraude 96,PEF
Fernández,Díaz,Sofía,2022-06-12,Comerciante,C000336,E,Suspendido,41310448,Fraude 12,BPR
Rodríguez,Fernández,Ana,2024-11-01,Agricultor,C000337,D,Inactivo,77503255,Fraude 43,PEF
Rodríguez,Ramírez,Sofía,2023-10-03,Comerciante,C000338,E,Inactivo,73986647,Fraude 71,PCO
González,Díaz,Elena,2022-11-13,Estudiante,C000339,E,Activo,50126658,Fraude 75,PCO
González,Díaz,Juan,2021-07-22,Empresario,C000340,A,Activo,26796693,Fraude 42,BFO
Rodríguez,Díaz,Ana,2022-11-08,Empleado,C000341,C,Inactivo,59887258,Fraude 75,BFO
Pérez,Fernández,Elena,2021-02-15,Docente,C000342,A,Activo,47037769,Fraude 33,VL1
González,Díaz,Elena,2022-11-25,Comerciante,C000343,C,Inactivo,59939389,Fraude 66,BFO
Gómez,Sánchez,María,2022-11-11,Estudiante,C000344,C,Activo,80761943,Fraude 100,VL1
Pérez,Ramírez,Ana,2024-10-21,Comerciante,C000345,B,Activo,59726391,Fraude 84,BSO
Rodríguez,Fernández,Ana,2022-06-16,Agricultor,C000346,A,Activo,87529092,Fraude 100,PEF
Díaz,Pérez,Luis,2020-12-14,Docente,C000347,B,Suspendido,50864069,Fraude 3,BFO
Gómez,Fernández,Elena,2022-05-08,Docente,C000348,C,Inactivo,11744628,Fraude 79,BSO
López,López,Miguel,2021-08-26,Docente,C000349,E,Inactivo,48488881,Fraude 65,BSO
Martínez,López,Luis,2023-02-14,Docente,C000350,E,Suspendido,22067143,Fraude 75,BFO
González,López,María,2021-04-19,Agricultor,C000351,C,Activo,61422435,Fraude 95,BFO
Sánchez,Martínez,Valeria,2021-07-21,Empleado,C000352,B,Suspendido,45477175,Fraude 92,PEF
González,Rodríguez,Juan,2023-09-20,Docente,C000353,C,Inactivo,65266509,Fraude 4,BPR
Díaz,Rodríguez,Elena,2020-10-24,Comerciante,C000354,A,Inactivo,73728911,Fraude 38,PEF
López,Díaz,Carlos,2020-10-16,Agricultor,C000355,A,Inactivo,74131140,Fraude 18,PEF
Gómez,Sánchez,Andrés,2021-10-22,Empleado,C000356,C,Activo,71321810,Fraude 49,BSO
Martínez,Martínez,Miguel,2022-08-18,Independiente,C000357,D,Inactivo,55349668,Fraude 81,BSO
González,González,Ana,2020-12-31,Comerciante,C000358,D,Activo,91150402,Fraude 87,BFO
Díaz,Sánchez,Ana,2023-07-15,Empleado,C000359,E,Suspendido,80787060,Fraude 38,BSO
Fernández,Ramírez,Miguel,2023-11-09,Empleado,C000360,D,Inactivo,74022618,Fraude 1,PEF
Fernández,Díaz,María,2023-02-14,Agricultor,C000361,A,Activo,59907497,Fraude 82,BPR
Díaz,Pérez,María,2020-09-02,Empresario,C000362,A,Suspendido,55221943,Fraude 37,BSO
Gómez,Martínez,Carlos,2024-11-11,Empleado,C000363,C,Suspendido,14150573,Fraude 48,BFO
Martínez,Ramírez,Andrés,2024-07-08,Agricultor,C000364,B,Activo,93167103,Fraude 92,BPR
López,Sánchez,Elena,2023-03-10,Empresario,C000365,E,Inactivo,72861774,Fraude 40,VL1
Gómez,Díaz,Carlos,2020-12-31,Empleado,C000366,C,Suspendido,16931794,Fraude 37,BSO
Gómez,Díaz,Valeria,2024-04-08,Empleado,C000367,D,Inactivo,44657734,Fraude 84,PEF
López,Fernández,Miguel,2020-09-18,Independiente,C000368,C,Activo,70517335,Fraude 57,BSO
Sánchez,Sánchez,Andrés,2023-08-06,Empresario,C000369,A,Inactivo,95583154,Fraude 62,BFO
Sánchez,Díaz,Carlos,2020-12-02,Docente,C000370,E,Suspendido,41915566,Fraude 96,BPR
Pérez,Díaz,Juan,2024-04-07,Estudiante,C000371,A,Activo,76176586,Fraude 16,PEF
Díaz,Fernández,Ana,2023-02-25,Agricultor,C000372,A,Inactivo,50279023,Fraude 15,VL1
Martínez,Díaz,Sofía,2020-07-24,Empleado,C000373,C,Suspendido,38490700,Fraude 88,BFO
López,Fernández,Carlos,2021-07-03,Estudiante,C000374,D,Activo,85692956,Fraude 22,BPR
Díaz,Díaz,Luis,2023-10-23,Docente,C000375,A,Activo,97465515,Fraude 74,VL1
Fernández,Fernández,María,2022-04-16,Empresario,C000376,A,Inactivo,21420112,Fraude 82,VL1
Gómez,Pérez,Miguel,2023-10-05,Independiente,C000377,C,Inactivo,94456946,Fraude 19,BFO
González,Pérez,Ana,2023-05-12,Empresario,C000378,C,Activo,31382556,Fraude 32,PCO
González,Pérez,Andrés,2021-07-15,Independiente,C000379,D,Inactivo,13749522,Fraude 54,BFO
Ramírez,Fernández,Juan,2022-05-25,Agricultor,C000380,E,Inactivo,33779901,Fraude 4,BSO
Díaz,Martínez,Miguel,2020-11-11,Agricultor,C000381,E,Inactivo,31608182,Fraude 75,PCO
Gómez,Díaz,María,2022-08-15,Comerciante,C000382,E,Inactivo,38141156,Fraude 19,BPR
Ramírez,López,Juan,2022-09-07,Empresario,C000383,B,Suspendido,37926867,Fraude 60,BSO
Ramírez,Sánchez,Juan,2021-09-19,Comerciante,C000384,D,Suspendido,90622939,Fraude 18,PCO
Sánchez,López,Valeria,2022-12-16,Comerciante,C000385,E,Activo,26890491,Fraude 98,BSO
Martínez,Díaz,Elena,2021-05-30,Docente,C000386,B,Activo,52610708,Fraude 43,BPR
Rodríguez,Fernández,Miguel,2022-01-07,Empleado,C000387,C,Inactivo,42167532,Fraude 11,BFO
Rodríguez,Martínez,Juan,2023-06-20,Estudiante,C000388,A,Activo,37452480,Fraude 60,VL1
Rodríguez,Rodríguez,Carlos,2020-03-11,Estudiante,C000389,B,Inactivo,13624473,Fraude 41,BSO
López,Fernández,Valeria,2020-01-27,Agricultor,C000390,D,Activo,18317331,Fraude 40,PCO
Pérez,López,Andrés,2022-10-26,Empleado,C000391,E,Suspendido,82369300,Fraude 70,PEF
Gómez,Fernández,Andrés,2021-11-15,Docente,C000392,D,Suspendido,88928377,Fraude 24,BPR
Gómez,López,Juan,2024-02-02,Empleado,C000393,E,Activo,80084525,Fraude 7,BPR
Fernández,López,Luis,2021-01-01,Empleado,C000394,D,Activo,38475502,Fraude 61,PCO
López,Martínez,Juan,2021-12-29,Agricultor,C000395,D,Suspendido,83260248,Fraude 71,PEF
López,Fernández,Sofía,2023-01-06,Comerciante,C000396,E,Inactivo,36898118,Fraude 94,BFO
González,Sánchez,Miguel,2023-09-02,Empleado,C000397,C,Inactivo,86156427,Fraude 51,BFO
López,Ramírez,Andrés,2020-06-18,Comerciante,C000398,A,Activo,37360986,Fraude 22,BPR
Fernández,López,Miguel,2022-01-08,Empresario,C000399,C,Inactivo,64050332,Fraude 26,PCO
Fernández,Martínez,Luis,2020-09-30,Estudiante,C000400,B,Suspendido,88522189,Fraude 2,PEF
Díaz,González,Andrés,2023-08-26,Estudiante,C000401,C,Suspendido,36520705,Fraude 13,BPR
Rodríguez,Gómez,Carlos,2021-02-10,Comerciante,C000402,D,Suspendido,73034145,Fraude 90,BSO
Martínez,Martínez,Valeria,2022-09-23,Agricultor,C000403,E,Inactivo,46567447,Fraude 86,BPR
Ramírez,Ramírez,María,2023-08-08,Independiente,C000404,B,Activo,88334608,Fraude 30,BFO
Gómez,González,Miguel,2021-11-16,Agricultor,C000405,A,Activo,36277171,Fraude 67,VL1
Gómez,Fernández,Ana,2021-09-10,Empleado,C000406,B,Activo,13966353,Fraude 30,BPR
González,Fernández,Luis,2021-03-07,Empresario,C000407,D,Suspendido,31537374,Fraude 56,BFO
Martínez,Gómez,Carlos,2023-04-30,Empleado,C000408,E,Activo,70018571,Fraude 67,BSO
Díaz,Martínez,Carlos,2023-06-27,Docente,C000409,E,Inactivo,58589065,Fraude 75,PEF
Rodríguez,Pérez,Juan,2021-08-02,Docente,C000410,E,Activo,78072717,Fraude 43,PEF
Ramírez,Sánchez,Miguel,2022-10-14,Comerciante,C000411,B,Activo,86339907,Fraude 75,BFO
Gómez,López,Carlos,2020-06-14,Comerciante,C000412,C,Inactivo,69224348,Fraude 37,VL1
Rodríguez,Rodríguez,Elena,2021-02-12,Agricultor,C000413,D,Suspendido,30405589,Fraude 5,BFO
Fernández,Pérez,Sofía,2022-09-26,Estudiante,C000414,B,Activo,77683889,Fraude 13,PEF
Martínez,Pérez,Miguel,2023-08-03,Empresario,C000415,C,Inactivo,71259604,Fraude 34,BFO
López,Ramírez,Juan,2021-12-06,Docente,C000416,B,Inactivo,62119848,Fraude 49,VL1
Martínez,Pérez,Miguel,2022-02-10,Agricultor,C000417,A,Inactivo,87486189,Fraude 52,BFO
Gómez,Ramírez,María,2020-08-08,Comerciante,C000418,B,Suspendido,74005228,Fraude 69,VL1
Martínez,Martínez,Miguel,2020-03-13,Empresario,C000419,C,Activo,69791855,Fraude 92,VL1
Martínez,Sánchez,Ana,2022-03-09,Estudiante,C000420,D,Activo,76633790,Fraude 5,VL1
Sánchez,Pérez,Elena,2024-08-24,Independiente,C000421,A,Activo,68628322,Fraude 76,BPR
Martínez,Sánchez,Carlos,2021-02-10,Estudiante,C000422,A,Suspendido,12800746,Fraude 47,BSO
Gómez,Sánchez,María,2020-07-27,Estudiante,C000423,E,Inactivo,85120698,Fraude 58,VL1
González,Gómez,Sofía,2020-07-16,Empresario,C000424,A,Suspendido,76395458,Fraude 38,PEF
Ramírez,Martínez,Andrés,2020-03-10,Docente,C000425,E,Suspendido,87864453,Fraude 84,PEF
Fernández,González,Ana,2022-11-22,Empleado,C000426,C,Activo,43789718,Fraude 32,BSO
Pérez,Díaz,Sofía,2021-10-27,Empleado,C000427,E,Inactivo,44489977,Fraude 7,BSO
Rodríguez,Ramírez,Luis,2021-03-05,Docente,C000428,E,Suspendido,75698933,Fraude 86,PEF
Martínez,Gómez,Carlos,2021-11-23,Empresario,C000429,E,Inactivo,19763234,Fraude 5,VL1
Sánchez,Sánchez,Luis,2022-10-10,Empresario,C000430,C,Inactivo,87020754,Fraude 90,PEF
González,Martínez,Andrés,2021-06-30,Docente,C000431,E,Suspendido,80155907,Fraude 20,BFO
Sánchez,Rodríguez,Miguel,2021-11-03,Docente,C000432,C,Inactivo,18378915,Fraude 15,BFO
Martínez,González,Valeria,2021-05-25,Docente,C000433,B,Suspendido,87611498,Fraude 73,BPR
Fernández,González,María,2022-04-02,Agricultor,C000434,C,Inactivo,12243976,Fraude 72,VL1
Ramírez,González,Andrés,2021-11-15,Docente,C000435,C,Activo,94893197,Fraude 49,BPR
Ramírez,Ramírez,Sofía,2024-05-06,Docente,C000436,B,Activo,40008395,Fraude 13,PEF
Díaz,González,Juan,2020-05-28,Agricultor,C000437,A,Activo,96403417,Fraude 74,BPR
Martínez,González,Andrés,2022-05-20,Estudiante,C000438,B,Activo,57408764,Fraude 55,PEF
Rodríguez,Díaz,Andrés,2024-08-23,Docente,C000439,D,Activo,24312695,Fraude 74,PCO
González,Martínez,Sofía,2022-12-12,Estudiante,C000440,E,Suspendido,64528808,Fraude 4,PEF
Martínez,Martínez,Miguel,2022-05-13,Docente,C000441,B,Suspendido,13429838,Fraude 39,BPR
González,Sánchez,Miguel,2022-05-03,Agricultor,C000442,C,Inactivo,16192987,Fraude 82,VL1
Gómez,Rodríguez,María,2024-08-27,Agricultor,C000443,B,Activo,10663097,Fraude 2,BSO
González,González,María,2020-03-26,Estudiante,C000444,D,Suspendido,12738416,Fraude 47,BPR
González,Rodríguez,Luis,2024-05-25,Empleado,C000445,B,Activo,33813508,Fraude 66,VL1
López,Rodríguez,Andrés,2023-02-12,Estudiante,C000446,B,Suspendido,63596182,Fraude 2,PEF
Martínez,Gómez,María,2024-08-16,Agricultor,C000447,B,Activo,56811825,Fraude 22,BSO
Pérez,Martínez,Andrés,2020-09-28,Empresario,C000448,D,Suspendido,88691705,Fraude 76,PCO
Ramírez,Díaz,Carlos,2024-06-20,Empleado,C000449,A,Suspendido,51107782,Fraude 11,BPR
González,Sánchez,Luis,2023-11-01,Estudiante,C000450,B,Activo,43965894,Fraude 72,PCO
Pérez,López,Miguel,2023-04-25,Agricultor,C000451,D,Suspendido,86488582,Fraude 28,BPR
Martínez,Sánchez,Ana,2024-08-26,Independiente,C000452,A,Suspendido,19873466,Fraude 50,PCO
Rodríguez,Ramírez,Ana,2022-01-24,Comerciante,C000453,E,Suspendido,75635048,Fraude 2,BFO
Díaz,González,Juan,2020-08-11,Empresario,C000454,D,Inactivo,49524544,Fraude 79,VL1
Sánchez,Sánchez,Sofía,2023-12-29,Empleado,C000455,A,Activo,44333800,Fraude 48,PEF
Gómez,Díaz,Andrés,2021-04-26,Empresario,C000456,C,Activo,41915363,Fraude 92,BSO
Martínez,Pérez,Carlos,2023-07-13,Docente,C000457,C,Inactivo,87941329,Fraude 62,PCO
Díaz,González,Sofía,2022-04-02,Estudiante,C000458,C,Inactivo,86181355,Fraude 49,BFO
González,López,Carlos,2022-11-18,Docente,C000459,A,Suspendido,56787281,Fraude 63,PEF
Rodríguez,Rodríguez,Andrés,2024-05-24,Estudiante,C000460,A,Suspendido,97932825,Fraude 1,VL1
Ramírez,Sánchez,Juan,2020-05-13,Docente,C000461,C,Inactivo,39147212,Fraude 29,BPR
Fernández,Ramírez,Andrés,2021-07-24,Estudiante,C000462,E,Suspendido,73652858,Fraude 10,PEF
López,Martínez,María,2023-11-10,Estudiante,C000463,D,Activo,38424322,Fraude 32,PEF
González,Díaz,Carlos,2022-03-27,Agricultor,C000464,B,Inactivo,72388009,Fraude 37,PCO
Fernández,Pérez,Valeria,2023-10-08,Estudiante,C000465,A,Inactivo,23042669,Fraude 24,PEF
Gómez,Ramírez,Andrés,2023-12-26,Comerciante,C000466,B,Suspendido,62163708,Fraude 29,BSO
Sánchez,López,Luis,2021-11-08,Docente,C000467,B,Suspendido,20999744,Fraude 86,BFO
López,González,Elena,2021-10-05,Empleado,C000468,C,Suspendido,57608407,Fraude 98,BFO
Martínez,Pérez,Luis,2020-05-12,Docente,C000469,C,Inactivo,65808862,Fraude 44,BSO
Fernández,López,Juan,2022-02-02,Independiente,C000470,A,Inactivo,26424221,Fraude 71,BFO
Pérez,Díaz,Luis,2021-12-17,Estudiante,C000471,D,Activo,45202344,Fraude 54,PEF
Fernández,Rodríguez,Miguel,2020-08-02,Independiente,C000472,D,Activo,54924081,Fraude 46,VL1
López,López,Carlos,2021-06-10,Empresario,C000473,D,Inactivo,70515674,Fraude 79,BPR
Gómez,Ramírez,Luis,2022-04-02,Empleado,C000474,D,Suspendido,36199627,Fraude 74,PCO
Sánchez,Díaz,Sofía,2020-03-04,Estudiante,C000475,A,Activo,53760451,Fraude 75,BPR
Fernández,Fernández,Miguel,2024-06-29,Empresario,C000476,E,Suspendido,25955912,Fraude 21,VL1
Martínez,Gómez,Carlos,2024-12-08,Agricultor,C000477,D,Activo,56275197,Fraude 2,VL1
Pérez,Rodríguez,Valeria,2022-01-03,Docente,C000478,E,Activo,27949180,Fraude 58,PEF
Gómez,Gómez,Elena,2023-06-11,Empleado,C000479,C,Inactivo,86844082,Fraude 88,BFO
Ramírez,Pérez,Ana,2022-07-17,Estudiante,C000480,B,Suspendido,69978953,Fraude 94,BPR
Ramírez,Pérez,Andrés,2021-12-19,Agricultor,C000481,A,Activo,91843068,Fraude 21,PEF
González,Rodríguez,Luis,2024-01-23,Independiente,C000482,A,Inactivo,69993938,Fraude 18,BSO
Gómez,Díaz,María,2021-11-26,Agricultor,C000483,B,Activo,44306834,Fraude 16,BPR
Fernández,Díaz,Sofía,2022-11-26,Independiente,C000484,E,Suspendido,35329195,Fraude 26,BFO
Pérez,Ramírez,Carlos,2023-09-25,Comerciante,C000485,D,Activo,65915036,Fraude 44,VL1
Pérez,Pérez,Elena,2020-09-21,Empleado,C000486,C,Inactivo,54507642,Fraude 91,BPR
Fernández,González,Andrés,2024-12-22,Comerciante,C000487,A,Inactivo,38336743,Fraude 40,BSO
Ramírez,Fernández,Carlos,2024-08-01,Estudiante,C000488,E,Inactivo,69471667,Fraude 18,PEF
Díaz,González,Miguel,2021-11-30,Docente,C000489,A,Suspendido,70605827,Fraude 5,PEF
Rodríguez,Fernández,Luis,2024-10-25,Independiente,C000490,E,Suspendido,53674998,Fraude 98,VL1
Pérez,Fernández,Valeria,2024-06-27,Comerciante,C000491,C,Suspendido,13346535,Fraude 84,BPR
González,Díaz,Andrés,2022-07-19,Estudiante,C000492,C,Activo,85055769,Fraude 27,BSO
Pérez,Ramírez,Andrés,2023-11-04,Agricultor,C000493,B,Suspendido,13547161,Fraude 64,BPR
Rodríguez,Rodríguez,Sofía,2020-11-15,Independiente,C000494,C,Suspendido,51947244,Fraude 39,VL1
Gómez,González,Juan,2022-01-22,Estudiante,C000495,A,Inactivo,42342767,Fraude 67,BSO
Martínez,Rodríguez,Andrés,2021-10-27,Empleado,C000496,A,Inactivo,67277101,Fraude 31,BSO
Rodríguez,Ramírez,Miguel,2021-11-09,Comerciante,C000497,D,Inactivo,76854273,Fraude 34,BPR
Pérez,Ramírez,Valeria,2021-01-17,Comerciante,C000498,A,Suspendido,54762384,Fraude 14,PEF
Sánchez,López,Juan,2024-01-05,Estudiante,C000499,C,Inactivo,45469168,Fraude 85,VL1
Sánchez,Pérez,Carlos,2024-04-06,Empleado,C000500,D,Suspendido,39943790,Fraude 96,PEF
Martínez,González,Andrés,2024-09-09,Empresario,C000501,C,Inactivo,83257332,Fraude 44,BSO
Díaz,Díaz,Valeria,2020-11-14,Docente,C000502,C,Suspendido,33355666,Fraude 11,BPR
Ramírez,Díaz,Elena,2024-11-16,Estudiante,C000503,E,Inactivo,15784012,Fraude 9,PEF
Pérez,Fernández,Juan,2022-01-04,Estudiante,C000504,A,Activo,17673511,Fraude 29,BFO
Rodríguez,González,Miguel,2023-03-21,Independiente,C000505,C,Suspendido,12371839,Fraude 72,BSO
Sánchez,Martínez,Ana,2021-02-27,Agricultor,C000506,E,Activo,14902544,Fraude 21,VL1
López,Pérez,Luis,2023-12-18,Docente,C000507,C,Activo,73867054,Fraude 83,VL1
González,Fernández,Luis,2022-02-14,Comerciante,C000508,C,Suspendido,75264688,Fraude 99,BPR
Díaz,Gómez,Elena,2021-10-09,Independiente,C000509,E,Inactivo,73222804,Fraude 75,BFO
Rodríguez,Rodríguez,Juan,2020-06-16,Agricultor,C000510,A,Suspendido,89055237,Fraude 68,PCO
Martínez,Sánchez,Miguel,2020-05-14,Empresario,C000511,B,Suspendido,24079096,Fraude 35,PCO
López,López,Andrés,2020-04-01,Estudiante,C000512,C,Activo,48292270,Fraude 37,VL1
Fernández,Díaz,Sofía,2023-12-26,Comerciante,C000513,B,Activo,48264332,Fraude 61,PCO
Sánchez,Ramírez,María,2024-11-12,Independiente,C000514,D,Suspendido,94970492,Fraude 53,PCO
Sánchez,Rodríguez,Juan,2021-12-10,Independiente,C000515,E,Inactivo,83145441,Fraude 62,BSO
Gómez,Ramírez,Juan,2022-12-13,Empleado,C000516,E,Inactivo,56187496,Fraude 50,BSO
Gómez,Rodríguez,Juan,2024-06-21,Empresario,C000517,C,Inactivo,89003560,Fraude 100,PCO
Martínez,Pérez,Juan,2023-10-14,Empleado,C000518,B,Activo,12774462,Fraude 53,PEF
Díaz,Sánchez,Valeria,2024-04-16,Independiente,C000519,E,Inactivo,51622596,Fraude 16,PCO
Sánchez,Fernández,Miguel,2021-04-12,Docente,C000520,B,Inactivo,73226931,Fraude 95,VL1
Martínez,Ramírez,Luis,2022-10-16,Estudiante,C000521,D,Inactivo,59405885,Fraude 13,VL1
Ramírez,Rodríguez,Valeria,2024-06-21,Estudiante,C000522,C,Suspendido,75178465,Fraude 68,BFO
Ramírez,Pérez,Valeria,2020-10-23,Estudiante,C000523,A,Inactivo,78637935,Fraude 49,PCO
Gómez,Gómez,Juan,2021-01-05,Empresario,C000524,A,Suspendido,22258422,Fraude 97,VL1
González,Díaz,Ana,2021-06-07,Estudiante,C000525,C,Activo,23283656,Fraude 41,PCO
Gómez,Díaz,Valeria,2020-07-02,Independiente,C000526,A,Suspendido,11486032,Fraude 96,BPR
López,Sánchez,Juan,2023-04-17,Empresario,C000527,E,Activo,29280481,Fraude 58,VL1
Sánchez,Rodríguez,Carlos,2020-04-24,Empleado,C000528,B,Inactivo,66588795,Fraude 31,PEF
